#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
-6.1694999   -1.927968719  0.001158758  0.004634
-6.0324001   -1.885125031  0.001158759  0.00451815
-5.8952999   -1.842281219  0.001042885  0.0044023
-5.7582002   -1.799437563  0.001042885  0.00405475
-5.6210999   -1.756593719  0.001042885  0.0039389
-5.4840002   -1.713750063  0.001042886  0.0037072
-5.3469      -1.67090625   0.001042886  0.00359135
-5.2097998   -1.628062438  0.000811134  0.00335965
-5.0727      -1.58521875   0.000811133  0.00312795
-4.9355998   -1.542374938  0.000811133  0.00289625
-4.7985001   -1.499531281  0.000811133  0.00266455
-4.6613998   -1.456687438  0.000811132  0.0025487
-4.5243001   -1.413843781  0.000811132  0.00220115
-4.3871999   -1.370999969  0.000695256  0.00220115
-4.2501001   -1.328156281  0.000695256  0.00196945
-4.1129999   -1.285312469  0.000579379  0.0018536
-3.9758999   -1.242468719  0.000579379  0.0018536
-3.8388      -1.199625     0.000579378  0.00173775
-3.7017      -1.15678125   0.000579378  0.0016219
-3.5646      -1.1139375    0.000579378  0.00150605
-3.4275      -1.07109375   0.000579377  0.00150605
-3.2904      -1.02825      0.000579377  0.00150605
-3.1533      -0.98540625   0.000579377  0.00150605
-3.0162001   -0.942562531  0.000579377  0.0013902
-2.8791001   -0.899718781  0.000579377  0.00127435
-2.7420001   -0.856875031  0.000579377  0.00127435
-2.6048999   -0.814031219  0.000579377  0.0011585
-2.4677999   -0.771187469  0.000463501  0.0011585
-2.3306999   -0.728343719  0.000463501  0.0011585
-2.1935999   -0.685499969  0.000463501  0.0011585
-2.0565      -0.64265625   0.000463501  0.0011585
-1.9194      -0.5998125    0.000463501  0.0011585
-1.7823      -0.55696875   0.0004635    0.0011585
-1.6452      -0.514125     0.0004635    0.00104265
-1.5081      -0.47128125   0.0004635    0.00104265
-1.3710001   -0.428437531  0.0004635    0.00104265
-1.2339      -0.38559375   0.0004635    0.00104265
-1.0968      -0.34275      0.0004635    0.00104265
-0.95969999  -0.299906247  0.0004635    0.00104265
-0.82260001  -0.257062503  0.0004635    0.00104265
-0.68550003  -0.214218759  0.0004635    0.00104265
-0.54839998  -0.171374994  0.0004635    0.00104265
-0.4113      -0.12853125   0.0004635    0.00104265
-0.27419999  -0.085687497  0.0004635    0.00104265
-0.1371      -0.04284375   0.000463501  0.00104265
0            0             0.000463501  0.0011585
0.1371       0.04284375    0.000463501  0.00104265
0.27419999   0.085687497   0.0004635    0.00104265
0.4113       0.12853125    0.0004635    0.00104265
0.54839998   0.171374994   0.0004635    0.00104265
0.68550003   0.214218759   0.0004635    0.00104265
0.82260001   0.257062503   0.0004635    0.00104265
0.95969999   0.299906247   0.0004635    0.00104265
1.0968       0.34275       0.0004635    0.00104265
1.2339       0.38559375    0.0004635    0.00104265
1.3710001    0.428437531   0.0004635    0.00104265
1.5081       0.47128125    0.0004635    0.00104265
1.6452       0.514125      0.0004635    0.00104265
1.7823       0.55696875    0.0004635    0.0011585
1.9194       0.5998125     0.000463501  0.0011585
2.0565       0.64265625    0.000463501  0.0011585
2.1935999    0.685499969   0.000463501  0.0011585
2.3306999    0.728343719   0.000463501  0.0011585
2.4677999    0.771187469   0.000463501  0.0011585
2.6048999    0.814031219   0.000579377  0.0011585
2.7420001    0.856875031   0.000579377  0.00127435
2.8791001    0.899718781   0.000579377  0.00127435
3.0162001    0.942562531   0.000579377  0.0013902
3.1533       0.98540625    0.000579377  0.00150605
3.2904       1.02825       0.000579377  0.00150605
3.4275       1.07109375    0.000579377  0.00150605
3.5646       1.1139375     0.000579378  0.00150605
3.7017       1.15678125    0.000579378  0.0016219
3.8388       1.199625      0.000579378  0.00173775
3.9758999    1.242468719   0.000579379  0.0018536
4.1129999    1.285312469   0.000579379  0.0018536
4.2501001    1.328156281   0.000695256  0.00196945
4.3871999    1.370999969   0.000695256  0.00220115
4.5243001    1.413843781   0.000811132  0.00220115
4.6613998    1.456687438   0.000811132  0.0025487
4.7985001    1.499531281   0.000811133  0.00266455
4.9355998    1.542374938   0.000811133  0.00289625
5.0727       1.58521875    0.000811133  0.00312795
5.2097998    1.628062438   0.000811134  0.00335965
5.3469       1.67090625    0.001042886  0.00359135
5.4840002    1.713750063   0.001042886  0.0037072
5.6210999    1.756593719   0.001042885  0.0039389
5.7582002    1.799437563   0.001042885  0.00405475
5.8952999    1.842281219   0.001042885  0.0044023
6.0324001    1.885125031   0.001158759  0.00451815
6.1694999    1.927968719   0.001158758  0.004634
6.3066001    1.970812531   0.001158757  0.00474985
6.4436998    2.013656188   0.001158756  0.0048657
6.5808001    2.056500031   0.001158755  0.00498155
